periodID,statefips,emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020_1_16,29,0.0223,0.00137,-2.10E-04,-0.000769,-0.00469
2020_1_16,30,0.127,0.00244,0.00403,-0.00655,-0.00232
2020_1_16,31,0.471,0.0000401,-0.00961,0.0404,-0.0018
2020_1_16,32,-0.243,-0.00204,-0.00325,-0.00248,-0.00373
2020_1_16,33,-0.0696,0.00197,-0.00332,-0.00174,0.000222
2020_1_16,34,-0.116,-0.00277,-0.00106,-0.00188,-0.00118
2020_1_16,35,-0.688,0.000811,-0.00496,-0.00708,-0.00152
2020_1_16,36,-0.204,-0.00299,-1.36E-04,-0.00595,-0.0000864
2020_1_16,37,-0.0504,-0.00109,0.00666,-0.00398,-0.00181
2020_1_16,38,-0.474,0.00511,-0.00306,-0.00476,.
2020_1_16,39,-0.132,0.000298,0.00233,-0.00548,-0.00131
2020_1_16,40,-0.106,0.00241,-0.00651,0.00303,-0.00232
2020_1_16,41,-0.208,-0.00208,9.99E-04,-0.00437,-0.00195
2020_1_16,42,-0.079,-0.000174,-7.59E-04,-0.000213,-0.00048
2020_1_16,44,-0.0312,-0.00191,2.85E-04,-0.00269,0.00472
2020_1_16,45,-0.012,-0.00267,-5.07E-04,-0.00321,-0.00154
2020_1_16,46,0.357,.,0.00287,.,0.0092
2020_1_16,47,-0.28,0.00103,-0.00395,-0.00429,-0.00323
2020_1_16,48,-0.511,-0.00617,-0.00171,-0.00692,-0.00688
2020_1_16,49,-0.291,0.00262,0.0044,-0.0185,0.00084
2020_1_16,50,-0.151,0.000473,-0.00812,0.00683,-0.00927
2020_1_16,51,-0.0528,-0.00515,0.00235,-0.00374,0.0099
2020_1_16,53,-0.0478,0.00296,-0.00344,-0.00747,0.00837
2020_1_16,54,0.0628,-0.000222,0.00974,0.00129,-0.0172
2020_1_16,55,-0.134,-0.000255,-0.00123,-0.000971,-0.00461
2020_1_16,56,-0.28,0.00275,-0.0225,-0.00241,-0.012
2020_1_17,1,-0.272,0.00105,0.00318,-0.00171,-0.00311
2020_1_17,2,-0.0188,0.00207,0.0011,-0.00402,0.00077
2020_1_17,4,-0.261,0.000121,-0.00556,-0.00101,-0.00198
2020_1_17,5,-0.875,0.00302,-0.00771,.,-0.0393
2020_1_17,6,-0.118,0.00036,-2.22E-04,-0.000783,-0.00403
2020_1_17,8,-0.117,0.000191,-0.00496,-0.00337,-0.000345
2020_1_17,9,-0.0451,-0.00103,0.00182,0.00282,0.00076
2020_1_17,10,-0.196,-0.00327,-0.00726,0.00106,0.00064
2020_1_17,12,-0.194,-0.00388,2.16E-04,-0.00114,-0.00477
2020_1_17,13,-0.166,-0.00143,-7.72E-04,-0.00118,-0.00227
2020_1_17,15,0.144,0.00185,0.0141,-0.0111,-0.00154
2020_1_17,16,-0.871,-0.00224,-0.0102,-0.0161,-0.019
2020_1_17,17,-0.154,-0.00102,-0.00184,-0.000328,-0.01
2020_1_17,18,0.0571,-0.00202,0.00283,-0.00114,0.00109
2020_1_17,19,-0.245,-0.0106,5.84E-04,0.000879,-0.000214
2020_1_17,20,0.217,0.00783,-0.00415,-0.00274,0.00103
2020_1_17,21,-0.215,-0.000252,-8.23E-04,-0.00402,0.00319
2020_1_17,22,-0.258,-0.0027,0.00429,-0.00242,0.000221
2020_1_17,23,0.0274,0.00172,-6.12E-04,-0.00212,0.00528
2020_1_17,24,0.206,-0.00014,0.00979,-0.000933,0.0000807
2020_1_17,25,0.037,0.00173,-7.01E-04,0.000862,0.00106
2020_1_17,26,-0.0795,-0.0000153,-0.0022,-0.000483,-0.00282
2020_1_17,27,0.0876,0.004,4.53E-04,-0.00319,0.00599
2020_1_17,28,0.102,0.0213,0.00452,-0.000046,-0.0238
2020_1_17,29,0.0662,0.00118,5.24E-04,-0.000703,-0.00422
2020_1_17,30,0.21,0.00299,0.00685,-0.0107,-0.001
2020_1_17,31,0.356,-0.000273,-0.012,0.0361,-0.00223
2020_1_17,32,-0.136,-0.00161,-0.00236,0.000523,-0.00429
2020_1_17,33,0.00288,0.00167,-0.00152,-0.0000951,0.000141
2020_1_17,34,-0.0353,-0.00209,-2.11E-04,-0.000458,-0.000583
2020_1_17,35,-0.444,0.00257,-0.00307,-0.0033,-0.00167
2020_1_17,36,-0.0834,-0.0017,6.92E-04,-0.00388,0.000359
2020_1_17,37,0.0172,-0.00122,0.00649,-0.00201,-0.000703
2020_1_17,38,-0.242,0.00635,-9.37E-04,-0.0018,.
2020_1_17,39,-0.0876,0.000459,0.00254,-0.0042,-0.00098
2020_1_17,40,0.0109,0.00262,-0.00253,0.00339,-0.000783
2020_1_17,41,-0.112,-0.0016,0.00163,-0.00293,-0.00127
2020_1_17,42,-0.0253,-0.000486,1.55E-04,0.000386,-0.000183
2020_1_17,44,0.0755,-0.00179,0.00181,-0.000904,0.00617
2020_1_17,45,0.0524,-0.00209,-7.16E-05,-0.00115,-0.00123
2020_1_17,46,0.457,.,0.00226,.,0.00792
2020_1_17,47,-0.198,0.000692,-0.00261,-0.00388,-0.00116
2020_1_17,48,-0.361,-0.00484,-2.28E-04,-0.00523,-0.00556
2020_1_17,49,-0.138,0.00349,0.00414,-0.0142,0.00149
2020_1_17,50,-0.147,-0.000939,-0.00688,0.00941,-0.00917
2020_1_17,51,-0.0171,-0.00448,0.00216,-0.0029,0.00975
2020_1_17,53,0.0901,0.0036,-0.00182,-0.00316,0.00797
2020_1_17,54,0.195,-0.0000168,0.00926,0.0013,-0.0113
2020_1_17,55,-0.0405,0.000321,-6.09E-05,-0.000699,-0.00252
2020_1_17,56,-0.0826,0.00184,-0.0208,-0.00101,-0.00623
2020_1_18,1,-0.163,0.000379,0.00312,0.0000536,-0.00193
2020_1_18,2,0.0418,0.00268,0.00133,-0.00257,0.000495
2020_1_18,4,-0.209,0.000631,-0.00752,-0.00012,-0.000645
2020_1_18,5,-0.85,0.00266,-0.00656,.,-0.0395
2020_1_18,6,0.018,0.000856,0.00109,0.00117,-0.00276
2020_1_18,8,0.0088,0.00127,-0.00362,-0.00212,0.000613
2020_1_18,9,0.0127,-0.000682,0.00283,0.00266,0.00123
2020_1_18,10,-0.133,-0.00284,-0.00615,-0.00028,0.0019
2020_1_18,12,-0.0682,-0.00289,0.00138,0.000448,-0.0036
2020_1_18,13,-0.0858,-0.000857,-2.74E-04,-0.0000566,-0.0016
2020_1_18,15,0.408,0.00451,0.017,-0.00911,-0.00123
2020_1_18,16,-0.6,-0.00238,-0.00703,-0.00954,-0.0141
2020_1_18,17,-0.0564,-0.0000102,-2.19E-04,0.000818,-0.00918
2020_1_18,18,0.167,-0.000689,0.00247,0.0011,0.00198
2020_1_18,19,-0.109,-0.00772,0.00384,-0.00251,0.00122
2020_1_18,20,0.228,0.0063,-0.00109,-0.00129,0.00126
2020_1_18,21,-0.0778,-0.000571,0.00239,-0.00298,0.0046
2020_1_18,22,-0.121,-0.00263,0.00391,-0.000625,0.00163
2020_1_18,23,0.0965,0.00374,-1.47E-05,-0.00109,0.00374
2020_1_18,24,0.23,0.000435,0.00921,-0.0000434,-0.0000433
2020_1_18,25,0.101,0.00189,3.38E-05,0.00161,0.0022
2020_1_18,26,0.00346,-0.000129,-0.00228,0.00115,-0.00116
2020_1_18,27,0.155,0.0039,0.00122,-0.00198,0.00743
2020_1_18,28,0.169,0.0218,0.00475,0.000565,-0.0226
2020_1_18,29,0.109,0.00116,0.00118,-0.00054,-0.00355
2020_1_18,30,0.283,0.00346,0.0092,-0.0135,0.000294
2020_1_18,31,0.238,-0.000484,-0.0133,0.0301,-0.00234
2020_1_18,32,-0.0381,-0.00123,-0.00151,0.00318,-0.00456
2020_1_18,33,0.0714,0.00141,2.50E-04,0.00139,0.0000841
2020_1_18,34,0.0391,-0.00136,5.09E-04,0.000843,0.0000165
2020_1_18,35,-0.211,0.00414,-0.00151,0.000266,-0.00202
2020_1_18,36,0.0288,-0.000428,0.00141,-0.0019,0.000757
2020_1_18,37,0.0822,-0.00117,0.00605,-0.000168,0.000559
2020_1_18,38,-0.00495,0.00758,8.15E-04,0.00111,.
2020_1_18,39,-0.0429,0.000628,0.00257,-0.00278,-0.000599
2020_1_18,40,0.11,0.00255,0.00104,0.00358,0.000771
2020_1_18,41,-0.0108,-0.000911,0.00214,-0.00138,-0.000505
2020_1_18,42,0.0238,-0.000734,9.83E-04,0.000874,0.0000718
2020_1_18,44,0.169,-0.00144,0.0032,0.000673,0.00699
2020_1_18,45,0.109,-0.00156,4.50E-04,0.000734,-0.000782
2020_1_18,46,0.513,.,0.00164,.,0.00615
2020_1_18,47,-0.11,0.000443,-0.00128,-0.00327,0.00099
2020_1_18,48,-0.207,-0.0034,0.00113,-0.00347,-0.00385
2020_1_18,49,0.00703,0.00393,0.00381,-0.0096,0.00211
2020_1_18,50,-0.133,-0.0021,-0.00536,0.0111,-0.00848
2020_1_18,51,0.0198,-0.0035,0.00191,-0.00201,0.00926
2020_1_18,53,0.203,0.00401,-4.22E-04,0.000745,0.00728
